id,PROPERTY TYPE,CITY,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,HOA/MONTH,LATITUDE,LONGITUDE,community,floor
NY_3118,Multi-Family (2-4 Unit),Staten Island,6.0,3.0,Dongan Hills Colony,3084.0,4200.0,1930.0,604.0,,40.6025691,-74.0972019,Dongan Hills Colony,No
NY_6695,Multi-Family (2-4 Unit),Bronx,4.0,3.0,Bronx,2178.0,4748.0,1926.0,114.0,,40.8430564,-73.7860965,Bronx,No
NY_505,Single Family Residential,Staten Island,3.0,2.0,Eltingville,1600.0,3400.0,1970.0,932.0,,40.5443117,-74.1754069,Eltingville,No
NY_10802,Condo/Co-op,Bronx,1.0,1.0,Riverdale,850.0,,1956.0,1059.0,,40.9048823,-73.9051113,Riverdale,No
NY_8845,Single Family Residential,Bronx,3.0,2.0,Bronx,1998.0,2121.0,1956.0,506.0,,40.8142487,-73.8136817,Bronx,No
NY_320,Condo/Co-op,Bronx,2.0,1.5,Bronx,1090.0,,1995.0,113.0,200.0,40.8147803,-73.90805809999998,Bronx,hardwood floor
NY_6601,Multi-Family (2-4 Unit),Bronx,4.0,2.0,Bronx,3176.0,2500.0,1920.0,480.0,,40.8430091,-73.8682434,Bronx,No
NY_6523,Condo/Co-op,Astoria,1.0,1.0,3601 28th Avenue Condo,573.0,2000.0,2016.0,957.0,,40.766724,-73.915797,3601 28th Avenue Condo,wood floor
NY_6731,Single Family Residential,Bronx,3.0,2.0,Bronx,985.0,,1960.0,337.0,,40.847706,-73.788708,Bronx,No
NY_10483,Single Family Residential,Staten Island,5.0,3.0,Manor Heights,2600.0,3880.0,1975.0,432.0,,40.6081408,-74.12429420000002,Manor Heights,No
NY_5705,Townhouse,Glendale,3.0,1.0,Liberty Park,1216.0,1559.0,1920.0,149.0,,40.699665,-73.894701,Liberty Park,No
NY_276,Multi-Family (2-4 Unit),Bronx,8.0,5.0,Bronx,3225.0,2069.0,2004.0,981.0,,40.812746,-73.8872559,Bronx,No
NY_4213,Multi-Family (2-4 Unit),Bronx,4.0,2.5,Bronx,1974.0,2543.0,1955.0,40.0,,40.860005,-73.846925,,No
NY_8427,Condo/Co-op,College Point,3.0,2.5,College Point North,1633.0,,1986.0,982.0,590.0,40.792469,-73.839336,College Point North,wood floor
NY_3239,Townhouse,Staten Island,3.0,1.0,Ward Hill,2350.0,3600.0,1910.0,94.0,,40.6345908,-74.0845907,Ward Hill,No
NY_7474,Multi-Family (2-4 Unit),Bronx,,,Bronx,3750.0,3179.0,1928.0,1038.0,,40.8798079,-73.864304,Bronx,No
NY_10689,Condo/Co-op,Bronx,2.0,1.0,Bronx,1000.0,,1962.0,190.0,,40.9057959,-73.90002,Bronx,No
NY_4989,Townhouse,Staten Island,3.0,2.0,Oakwood,2250.0,3750.0,2004.0,759.0,,40.5613136,-74.11830529999997,Oakwood,No
NY_7495,Condo/Co-op,Bronx,2.0,1.0,Bronx,975.0,,1955.0,120.0,,40.866317,-73.8680941,Bronx,No
NY_8966,Multi-Family (2-4 Unit),Bronx,6.0,2.0,Bronx,3850.0,,1993.0,51.0,,40.8988544,-73.86990870000002,Bronx,No
NY_5391,Single Family Residential,Staten Island,3.0,3.0,West Brighton,1450.0,945.0,2006.0,583.0,85.0,40.633535,-74.1175729,West Brighton,No
NY_4564,Condo/Co-op,Bellerose,1.0,1.0,Govo West,641.0,,1949.0,1074.0,,40.7437338,-73.72330649999998,Govo West,wood floor
NY_8708,Multi-Family (2-4 Unit),Bronx,4.0,2.5,Bronx,1998.0,1799.0,1960.0,871.0,,40.8169782,-73.8230329,Bronx,No
NY_3613,Multi-Family (2-4 Unit),St. Albans,3.0,2.0,St. Albans,1500.0,3800.0,1945.0,716.0,,40.6886,-73.751964,St. Albans,wood floor
NY_4089,Single Family Residential,Bronx,2.0,2.0,Bronx,1544.0,5000.0,1910.0,807.0,,40.8615529,-73.84652390000002,,No
NY_11119,Single Family Residential,Flushing,3.0,1.5,Flushing,1200.0,2500.0,1930.0,551.0,,40.7609319,-73.785797,,
NY_3937,Townhouse,Rego Park,3.0,2.5,Rego Park,1911.0,1901.0,1967.0,1026.0,,40.718915,-73.86014399999998,Rego Park,wood floor
NY_3434,Condo/Co-op,Beechhurst,2.0,1.0,Lehavre,1000.0,,1958.0,697.0,,40.793707,-73.79833,Lehavre,No
NY_10104,Single Family Residential,Staten Island,1.0,1.0,Great Kills,717.0,717.0,1974.0,592.0,291.0,40.5565172,-74.1627222,Great Kills,No
NY_5829,Multi-Family (2-4 Unit),Bronx,4.0,2.0,Bronx,2073.0,2940.0,1940.0,460.0,,40.8549317,-73.8612641,Bronx,No
NY_9037,Condo/Co-op,Bronx,1.0,1.0,Bronx,750.0,,1958.0,88.0,,40.900892,-73.86232690000001,Bronx,No
NY_1371,Condo/Co-op,Bronx,1.0,1.0,Bronx,800.0,,1966.0,942.0,,40.8780303,-73.91692259999998,Bronx,No
NY_1379,Condo/Co-op,Bronx,3.0,2.0,Riverdale,1700.0,,1962.0,855.0,,40.8825647,-73.9213061,Riverdale,No
